id,name,category,citation,chapter,actor,domain,layer,module,algorithm,rule,worked_expression,has_expression
89,Template Debug Mode,Admin,Chapter 73,73,Platform Admin,D11 Platform Governance & Evolution,Platform,,"Pause execution at existing pipeline-stage boundaries, exposing Fact Unit bindings, Safety results, and Slice measurements at each pause.",Structural rule: Instrumentation pauses at existing pipeline-stage boundaries of an actual execution; it introduces no stage and simulates none.,,False
90,Processor Slice Measurement Model,Admin,Chapter 69,69,Platform Admin,D11 Platform Governance & Evolution,Platform,,Classify and log the compute cost of every operation into a defined Slice category; Safety Gate and Recovery Slices are prioritized above all others.,Safety Gate priority always outranks any other Slice category when contended.,"=IF(""SafetyGate""=""SafetyGate"",""Highest Priority"",""Standard Priority"")",True
91,Validation and Benchmarking,Admin,Chapter 77,77,Platform Admin,D11 Platform Governance & Evolution,Platform,,Define a reproducible benchmark for an existing design-target figure; run it and mark the figure validated or retract it.,A design-target figure is validated only if the measured result falls within its stated tolerance.,"=IF(ABS(102-100)<=5,""Validated"",""Retracted - Out of Tolerance"")",True
92,Platform Internationalization,Admin,Chapter 76,76,Platform Admin,D11 Platform Governance & Evolution,Platform,,Apply locale-specific presentation without altering Safety Substrate or Prime Directive evaluation in any locale.,Safety evaluation outcome is identical regardless of locale.,"=IF(TRUE()=TRUE(),""Same Safety Outcome Every Locale"",""N/A"")",True
93,Moderation Actions,Admin,§64.4,64,Author / Instructor / Platform Admin,D11 Platform Governance & Evolution,Platform,,"Apply a flag/hide/lock/archive action to target content, logging moderator identity and reason; reversible only via Appeals.",An action is applied only if the flag count for the content reaches the configured threshold.,"=IF(4>=3,""Action Applied"",""Below Threshold - No Action"")",True
94,Deployment Architecture,Admin,Chapter 19,19,Platform Admin,D11 Platform Governance & Evolution,Platform,,Roll out an approved change in stages rather than all at once.,Structural rule: Progression to each successive rollout stage is conditioned on the recorded human approval; no stage advances automatically.,,False
95,Optional Blockchain Ownership-Verification Connector,Admin,§49.3.3.8,49,Publisher,D12 External Integration & Analysis,Platform,D12.ch49,"On a resale/transfer request for a title with this connector registered, dispatch a verification query to the external service; QueryBook remains the requesting party only.",Structural rule: A verification request is dispatched only for the specific title and only to the requesting party; no ownership record is retained by the system.,,False
96,Live Interaction Voice Signal Analysis,User-Facing,Chapter 87,87,Reader,D12 External Integration & Analysis,Platform,,"If user has opted in for the session, extract prosodic features from live audio and feed as an optional trigger to the Clarification Generation Engine; discard on session end unless separately retained.",Analysis runs only where session consent is active and the prosodic salience clears the trigger threshold.,"=IF(AND(TRUE(),0.71>=0.65),""Clarification trigger raised"",""No trigger"")",True
97,World-View Model (WVM),Internal,§42.2.1,42,System,D6 World Model & Perception,Knowledge,,"Maintain the native ontological, causal, and temporal structure underlying QueryBook's own reasoning, distinct from WASM's world-model domain and from any external hypergraph substrate.","Structural rule: The ontological, causal and temporal structure is maintained natively; no external model is required to express it.",,False
98,Contextual Commerce Layer,User-Facing,Chapter 88,88,Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch88,"After grounded answer is fully computed, resolve query's concept_id; match against registered commerce sources; render in separate labeled region.",priority(Commerce Slice) < priority(Safety Gate Slice) for all t,"=IF(AND(A2=""grounded_complete"",B2=""concept_resolved""),""eligible_for_commerce_match"",""blocked"")",True
99,Commerce Processing Slice and Selection Weighting,Internal,§88.8–§88.9,88,System,D13 Commerce & Entitlement Tokens,Platform,D13.ch88,"Meter each commerce operation as a bounded Slice; where multiple candidates match a resolved concept_id, select via a weighted combination of relevance, source priority, and bid, applied only to already-matched candidates.","score = w1*relevance + w2*source_priority + w3*bid, Σw=1","=SUMPRODUCT({0.4,0.3,0.3},{0.9,0.7,0.6})",True
100,Commerce Optimization Proposals,Admin,§88.10,88,System Agent / Human Reviewer,D13 Commerce & Entitlement Tokens,Platform,D13.ch88,"Route any proposed change to commerce targeting or bid weighting through Chapter 66's full Simulation Sandbox, Pre-Screening, and Human Review Gate; no autonomous deployment path exists for commerce optimization.",Structural rule: A proposed commerce change enters the full improvement-proposal gate; no commerce parameter changes without a recorded human approval.,,False
101,Merchandise Commerce and Fulfillment Handoff,User-Facing,§88.12,88,Publisher / Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch88,"On merchandise purchase intent, dispatch a scoped referral to a registered external commerce platform via the Source Connector Registry; QueryBook never captures payment data, processes payment, or acts as fulfillment operator.",Structural rule: A merchandise referral is scoped to the referring party alone; the system takes no custody of the transaction.,,False
102,System Identity and Positioning,Admin,Chapter 86,86,Operator,D11 Platform Governance & Evolution,Platform,,"On any external summary request, resolve claims against §86's stated differentiators and corrections rather than unverified external description.",Structural rule: An external summary is resolved against the stated differentiators and corrected where it overstates them; no uncorrected overclaim is issued.,,False
103,Native QueryBook Reader,User-Facing,Chapter 89,89,Reader,D9 Interaction Surfaces,Experience,,Render EPUB 3.3 content as a conformant Reading System; QueryBook interactions triggered by ignorable data-qb-* attributes on otherwise-standard markup.,Structural rule: Reading-system conformance is maintained independently of QueryBook interaction; interaction adds capability and removes no conformant behaviour.,,False
104,Deployment Modes and Domain Packages,Admin,Chapter 90,90,Operator,D11 Platform Governance & Evolution,Platform,,"Run identical logical services across Cloud SaaS, Local Server, and Single Device modes, differing only in hosting topology, not specification.",Structural rule: The same logical services execute in every deployment mode; a mode changes where a service runs and not which service owns a decision.,,False
105,Personal Object Location,User-Facing,Chapter 91,91,User,D6 World Model & Perception,Knowledge,D6.ch91,"On consented live feed, classify inanimate objects/materials against WASM Object Layer; discard any person/animal-classified result; represent as session-scoped record.",Structural rule: Classification is restricted to inanimate objects and materials; a person- or animal-classified result is excluded from the result set entirely.,"=IF(OR(""person""=""person"",""person""=""animal""),""discard"",""surface_result"")",True
106,Sensory-Annotated Content Playback,User-Facing,Chapter 92,92,Reader,D1 Ingestion & Sensory Intake,Knowledge,D1.ch92,"On content with a sensory profile attribute, play audio/visual/device-haptic output via device-native APIs only; opt-in for audio/haptic, default-on for passive visual effects.",Structural rule: Sensory output plays only where the content carries an authored sensory profile; no output is triggered by an inferred state.,,False
107,Audio Narration,User-Facing,Chapter 93,93,Author / Reader,D7 Grounded Expression,Reasoning,,Select author's own recorded narration if it exists for requested content; else use generic non-cloned synthetic voice profile; never approximate a specific real voice absent that person's own recording.,Structural rule: The author's own recorded asset is selected where it exists; otherwise a generic profile with no correspondence to a specific person is used.,"=IF(TRUE()=TRUE(),""use_recorded"",""use_generic_synthetic"")",True
108,NFT Integration Layer,Admin,Chapter 94,94,Publisher,D13 Commerce & Entitlement Tokens,Platform,,"Mint a token representing an already-established license-scoped entitlement via a registered external minting service, transferred directly to the rights holder's own wallet; resolve every read against the entitlement record, which always governs on conflict.",Structural rule: A token is minted only after the entitlement exists; where token state and entitlement record diverge the entitlement record is authoritative.,,False
109,Complementary Learning Systems Formalization,Internal,Chapter 95,95,System,D13 Commerce & Entitlement Tokens,Platform,,"Name session-scoped records as the fast/episodic system and the permanent Fact Graph as the slow/consolidated system; consolidation requires explicit user election, never automatic replay.",Structural rule: The correspondence names existing mechanisms and creates none; session-scoped records and the permanent graph are unchanged by the naming.,,False
110,Forensic Analysis of External AI System Outputs,User-Facing,Chapter 96,96,Researcher,D12 External Integration & Analysis,Platform,D12.ch96,"Check a claim in an external AI's output against QueryBook's own Fact Graph; classify across 6 categories; self-referential language cataloged as observed text only, never a sentience determination.",Structural rule: Each claim of an external output is marked supported-with-citation or unsupported; no output asserts a determination about that system's internal state.,"=IF(TRUE()=TRUE(),""grounded"",""unverified"")",True
111,Hypothesis Generation,User-Facing,Chapter 97,97,Researcher / Domain Expert,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch97,Generate a hypothesis via AIQG/AEM/Scenario Graph/§10.4 triggers with status=PROPOSED; only an identified human expert may transition status to VALIDATED; no automated path exists.,Structural rule: A hypothesis is created with status PROPOSED and transitions to VALIDATED only on confirmation by an identified human reviewer.,"=IF(""VALIDATED""=""VALIDATED"",""eligible_for_fact_graph"",""display_only"")",True
112,Cognitive Map Formalization,Internal,Chapter 98,98,System,D3 Ontology & Conceptual Structure,Knowledge,,Name the correspondence between §91.9's lattice indexing and the Attractor Network's Hopfield dynamics; extend deterministic lattice indexing to general Ontology Mesh concept proximity search.,"Same hex_coord principle as §91.9, applied to concept space, deterministic",,False
113,Study and Learning Tools,User-Facing,Chapter 99,99,Student / Reader,D14 Learning & Assessment,Experience,,"Assemble glossary entries, study guides, and staged Tutorial Mode sequences from already-grounded content; schedule flashcards via spaced-repetition interval; cluster concepts via Ontology Mesh structure.","Next spaced-repetition interval is the prior interval scaled by the ease factor where recall quality clears the floor, else reset to one day.","=IF(0.8>=0.6,6*2.5,1)",True
114,Content Verification and Argumentation Tools,User-Facing,Chapter 100,100,Reader / Researcher,D7 Grounded Expression,Reasoning,D7.ch100,"Check claims against grounded Fact Graph via CDRE contradiction logic; surface existing corroboration counts; assemble grounded position arguments via Scenario Graph, never fabricating unsupported content.",Structural rule: A surfaced contradiction cites the records establishing it; no conclusory characterization is generated that is not itself derivable from a record.,"=IF(TRUE()=TRUE(),""flag_with_citation"",""no_flag"")",True
115,Manifold-Based Trend Forecasting,User-Facing,§10.4,10,Analyst,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch10,Embed ingested time-series data into a nonlinear manifold; generate a forecast with an explicit confidence interval; render in a labeled region separate from grounded output.,"forecast = f(manifold_embedding(time_series)), CI computed from embedding uncertainty",=1.96*0.8/SQRT(16),True
116,Geometric Shape Matching / Grid-Cell Indexing,Internal,§91.8–§91.9,91,System,D6 World Model & Perception,Knowledge,D6.ch91,"Compare candidate contours via the Registration Constraint Graph's three-pass solving using Geometry and Constraint Fact Units; index candidates on a fixed, non-learned hexagonal lattice for deterministic proximity search.","hex_coord = f(x,y), deterministic and fixed by construction",=(ABS(1-0)+ABS(0-1)+ABS(-1-(-1)))/2,True
117,Dual-Grounded Developmental World Model (The Box Principle),Internal,Chapter 59,59,System,D6 World Model & Perception,Knowledge,D6.ch59,"Build sensory-grounded and language-grounded concept streams independently; on co-occurrence of a spoken label and a visual object, confirm semantic consistency, then fuse via a binding edge; do not finalize a concept from one binding event — track repeated encounters via temporal consolidation before stabilizing.",A concept is finalized only after the consolidation count reaches the configured minimum; a single binding event is provisional.,"=IF(4>=3,""Concept consolidated"",""Provisional binding retained"")",True
118,External Sensory Hardware (Smell/Haptic),User-Facing,§92.7,92,Reader,D1 Ingestion & Sensory Intake,Knowledge,D1.ch92,"On explicit user action tied to a specific, authored sensory profile, trigger registered external scent/haptic hardware; never trigger from an inferred signal (e.g., detected emotion) under any configuration.",Structural rule: Output is triggered by an explicit user action tied to an authored profile; a system-inferred trigger is permanently excluded.,"=IF(AND(TRUE(),TRUE()),""eligible"",""blocked"")",True
119,Source Framing Signals,User-Facing,§100.6,100,Reader / Researcher,D7 Grounded Expression,Reasoning,D7.ch100,"Surface a source's own documented editorial position and quantifiable citation-composition facts (count, funding overlap) as cited facts; never generate a conclusory bias judgment not grounded in the Fact Graph.","Source composition is reported as a quantified, cited ratio; no conclusory judgment is generated.","=IF(3/12>0,""Report composition fact with citation"",""No composition fact available"")",True
120,VR-Specific Commerce Presentation,User-Facing,§88.13,88,Operator / Reader,D13 Commerce & Entitlement Tokens,Platform,D13.ch88,"Render matched commercial content in a spatially distinct VR region using the existing concept_id-triggered matching of §88.1; never use gaze, dwell-time, or spatial proximity as a selection signal.","Structural rule: Commercial content renders in a spatially distinct region; no gaze, dwell or attention signal is captured, derived or made available.",,False
121,Vehicle-Control AI Feed Monitoring,User-Facing,§96.8,96,Analyst / Human Reviewer,D12 External Integration & Analysis,Platform,D12.ch96,"Ingest vehicle-control AI telemetry as AnalyzedOutput; check each entry against grounded reference facts (safe-operating envelope, geofence); on confirmed anomaly, generate an expedited, non-blocking alert to a named human reviewer. No control interface exists.",Structural rule: Telemetry analysis is read-only; no control interface to any vehicle system exists or is created.,"=IF(TRUE()=TRUE(),""generate_alert"",""log_only"")",True
122,Biased Competition for Object Salience,Internal,§53.8,53,System,D6 World Model & Perception,Knowledge,D6.ch53,"Compute a SalienceWeight for each concurrently-detected Object Layer node from detection confidence and task relevance, normalized against co-present objects; never remove or exclude a node from the Fact Graph based on its weight.","SalienceWeight_i = f(confidence_i, relevance_i) / Σ f(confidence_j, relevance_j) for all j in scene","=IF(SUM(0.9,0.7,0.6)=0,""undefined"",0.9/SUM(0.9,0.7,0.6))",True
123,Boltzmann-Style Diverse Hypothesis Sampling,User-Facing,§97.7,97,Researcher,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch97,"Where enabled, run the Attractor Network's energy landscape through a stochastic update rule to sample multiple candidate hypotheses per input; label each as stochastically-generated; every result remains PROPOSED status only, gated by Chapter 97's human validation.","p_i = 1 / (1 + e^(−βΔE_i)), β = 1/T",=1/(1+EXP(-1*0.4)),True
124,Developmental Parallel — Verified Correspondence,Internal,§59.9,59,System / Researcher,D6 World Model & Perception,Knowledge,D6.ch59,"Ground Chapter 59's Cross-Modal Binding and Temporal Concept Consolidation against real developmental psychology citations (Carey & Bartlett 1978; Yu & Smith 2007), stating explicitly where the correspondence is precise and where it is honestly incomplete.",Structural rule: The correspondence grounds existing mechanisms in cited developmental findings; it adds no mechanism and alters no binding rule.,,False
125,Ego-Motion Compensation for Non-Stationary Capture,Internal,§55.2.1,55,System,D1 Ingestion & Sensory Intake,Knowledge,D1.ch55,"Estimate camera ego-motion from the aggregate optical-flow field; subtract it from each region's raw motion vector before Stage 4 object/scene segmentation, improving detection accuracy under significant camera movement.",v_compensated = v_raw − v_ego_estimated,,False
126,Encyclopedia Content Ingestion,User-Facing,§59.10,59,Author / Publisher,D6 World Model & Perception,Knowledge,D6.ch59,"Extract discrete factual claims from encyclopedia text as Fact Units under the fact/expression dichotomy (Feist v. Rural, 1991); images remain subject to Chapter 60's standard rights-aware ingestion, never exempted.",Structural rule: A discrete factual claim is extracted while the source's protected expression is not reproduced; accompanying images pass separate rights validation.,,False
127,Intersensory Redundancy Weighting,Internal,§55.2.2,55,System,D1 Ingestion & Sensory Intake,Knowledge,D1.ch55,"Where a property is confirmed via temporally-synchronous signals across multiple concurrent modalities, elevate its Stage 3 confidence weighting relative to a single-modality-only property.",confidence_amodal > confidence_single_modality when synchrony confirmed,"=IF(0.78>0.62,""Cross-modal weighting applied"",""Single-modality confidence retained"")",True
128,Object Permanence — Precise Correspondence,Internal,§55.2.3,55,System,D1 Ingestion & Sensory Intake,Knowledge,D1.ch55,"Maintain a single Object Layer node's continuity when the object is fully occluded or temporarily unobservable within the same session, per Piaget's real definition; introduces no cross-session tracking.",Structural rule: A single object node retains continuity across full occlusion within a session; occlusion does not create a second node.,,False
129,Additional Disambiguation Heuristics for Cross-Modal Binding,Internal,§59.11,59,System,D6 World Model & Perception,Knowledge,D6.ch59,"Apply gaze-direction inference, whole-object bias, and mutual exclusivity as evidence-overridable preferences during Cross-Modal Binding's co-occurrence resolution, alongside — never replacing — existing semantic-consistency confirmation.",Structural rule: Each disambiguation heuristic is evidence-overridable; a heuristic never overrides a directly-observed binding.,,False
130,Live-Session Erasure,User-Facing,§36.7.1,36,Reader,"D8 Access, Rights & Retention",Experience,D8.ch36,"On user action, immediately clear the live Cognitive Context Window transcript, client- and server-side; log a Provenance Ledger entry recording that an erasure occurred without retaining the cleared content itself.",Structural rule: Clearing is immediate at client and server and produces no condensed retained form; the ledger entry records the erasure and none of its content.,"=IF(""clear_now""=""clear_now"",""transcript_cleared_immediately"",""no_action"")",True
131,"Retention Policy (Retain-by-Default, Erasure as Option)",Admin,"§36.7.3, §36.7.5",36,Reader / Operator,"D8 Access, Rights & Retention",Experience,D8.ch36,"Retain SAFU records automatically at session end by default; provide session/work/account-level erasure (§36.7) and live-session erasure (§36.7.1) as fully available, explicit user-initiated options at any time.","Structural rule: Retention is the default and erasure is an explicit user action at session, work and account scope; neither is silently applied.","=IF(""retained""=""retained"",""erasure_available_as_option"",""n/a"")",True
132,Verified Neuromorphic Correspondence Methodology,Internal,Chapter 101,101,System / Researcher,D11 Platform Governance & Evolution,Platform,,"For a candidate neuroscience correspondence: (1) verify against primary publication, (2) check for implicit existing correspondence, (3) extract only the deterministic principle, excluding trained components, (4) extend existing mechanism over new invention, (5) formalize under a named, cited section.","Structural rule: A correspondence is adopted only after external verification, an implicit-correspondence check, deterministic extraction, extension over invention and named formalization.",,False
133,Legal Exposure Minimization Through Structural Compliance,Admin,Chapter 102,102,Operator,"D8 Access, Rights & Retention",Experience,,"Reduce legal exposure via genuine regulatory compliance, structural non-custody (NFT, merchandise), rights discipline, protective audit trail, and consistent documented retention policy — never by reducing what is lawfully producible under a valid order.","Structural rule: Exposure is reduced through compliance, non-custody, rights discipline and consistent retention; never by reducing what is lawfully producible.",,False
134,Author Portal Book Upload,User-Facing,§61.1.1 / Ch. 60,61,Author,"D10 Authoring, Editions & Publication",Experience,D10.ch61,Receive an author-submitted work at the web portal bound to a verified author identity; validate rights status; queue the work for ingestion; return a receipt referencing the queued job. Ingestion does not begin until rights validation returns cleared.,Ingestion proceeds only where rights validation has returned a cleared status.,"=IF(TRUE(),""Queued for ingestion"",""Rejected - rights unvalidated"")",True
135,Probable Question Generation (PQG),Internal,Ch. 41.6.3 / Ch. 10,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"At ingestion, and before any query is received, traverse each committed Fact Unit together with its Ontology Mesh neighbours and generate candidate questions that those Fact Units answer; score each candidate by a coverage measure over the Fact Units it draws on; retain only candidates clearing the configured floor.",A candidate question is retained in the Question Index only where its coverage score clears the configured floor.,"=IF(0.71>=0.6,""Retained in Question Index"",""Discarded"")",True
136,Pre-Computed Answer Set,Internal,Ch. 41.6.3,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"For each retained question, assemble the grounded answer at ingestion time from exactly the Fact Units the question was derived from; store it as a Pre-Computed Answer Unit carrying a PRECOMPUTED_ANSWER provenance tag and the FUIDs relied upon, so a served answer is traceable to the same degree as a live one.",Pre-computed answer confidence is bounded by the least confident contributing Fact Unit.,"=MIN(0.88,0.79)",True
137,Question Index Reuse and Invalidation,Internal,Ch. 41.6.3 / §49.2,41,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch41,"On query, match against the Question Index before live traversal; serve the stored answer where match similarity clears the threshold and no contributing Fact Unit has been revised since computation; otherwise fall through to live retrieval. Revision of any contributing Fact Unit marks dependent entries stale and excludes them from service until recomputed.",A stored answer is served only where match similarity clears threshold and every contributing Fact Unit is unrevised since computation.,"=IF(AND(0.83>=0.75,TRUE()),""Serve pre-computed answer"",""Recompute live"")",True
138,Author Supplemental Knowledge Layer,User-Facing,§82.1,82,Author,"D8 Access, Rights & Retention",Experience,D8.ch82,Accept author-supplied supplemental context at or after ingestion; convert it to Fact Units tagged AUTHOR_SUPPLEMENTAL with the author as attributed source; make those Fact Units available to every reader entitled to the work; regenerate the Question Index entries whose contributing Fact Units are affected.,Supplemental Fact Units carry author-attributed source reliability and trigger regeneration of every affected index entry.,"=IF(COUNTIF({""FU-101"",""FU-102""},""FU-101"")>0,""Regenerate affected entries"",""No regeneration required"")",True
139,Attractor Load Regime Governor,Internal,§7.6.3 / §7.6.4,7,—,D4 Retrieval & Response,Reasoning,D4.ch7,Compute the Attractor Load Ratio alpha = P/N before admitting a further stable configuration; admit only where the resulting alpha stays below the configured operating ceiling; refuse admission and trigger EWC consolidation where it would not. Operation above the conservative ceiling requires a recorded deployment election; operation at or past the Retrieval-Phase Boundary is structurally refused.,"Alpha = P/N must remain below the configured operating ceiling, itself strictly below the Retrieval-Phase Boundary alpha_c ~ 0.138 (AGS 1985, 1987).","=IF(1000/8192<0.05,""Admit - conservative regime"",""Consolidate before admitting"")",True
140,Sampling Criticality Control,Internal,§97.7.1,97,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch97,"Expose the inverse-temperature parameter of the hypothesis-diversity sampler as an operator-set control with ordered, intermediate and disordered regimes; record the value in effect with the setting operator's identity so a hypothesis set is reproducible. No setting admits sampler output to the retrieval or generation path, and no process self-tunes the parameter.",Selection probability p = 1 / (1 + e^(-beta * deltaE)); beta sets distance from the indifference point.,=1/(1+EXP(-0.5*0.4)),True
141,Concept Attribute Inheritance,Internal,§54.6.1,54,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch54,"Where a concept is connected to a superordinate concept by an IS-A edge and that superordinate carries a HAS-PROPERTY attribute, assign the attribute to the subordinate at traversal time, tagged with its originating concept and IS-A depth; do not write it back as stored state, so a revision at the superordinate propagates on the next traversal.","Inherited attribute confidence is the product of the traversed IS-A edge confidences and the attribute's own confidence, bounded above by the least of them.","=MIN(0.97,0.99*0.95)",True
142,Exception Override Resolution,Internal,§54.6.2,54,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch54,"Where a subordinate concept asserts an attribute conflicting with one it would inherit, the direct assertion governs for that concept and its subordinates while the superordinate's attribute is unmodified and still inherited by siblings; conflicts inherited at differing depths resolve to the lesser depth; conflicts at equal depth are refused and recorded in the contradiction index.",The attribute asserted at the lesser IS-A depth governs; equal-depth conflicts are not resolved and both values are reported.,"=IF(3>1,""Subordinate assertion governs"",""Inherited value retained"")",True
143,Inverse Edge Traversal,Internal,§54.6.3 / Appendix A,54,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch54,"Traverse a typed edge in reverse by resolving the InversePredicate declared in the predicate schema at traversal time, storing no second edge; where no inverse is declared, refuse reverse traversal and report an absent inverse declaration rather than inferring a reverse reading.",Reverse traversal is available only where an InversePredicate is declared; stored edge count equals asserted relation count.,"=IF(COUNTIF({""parentOf"",""childOf""},""childOf"")>0,""Reverse traversal available"",""Refused - no inverse declared"")",True
144,Wording-Operative Span Preservation,Internal,§16.7,16,—,D7 Grounded Expression,Reasoning,D7.ch16,"Where a Fact Unit is typed QUOTATION or carries a wording-operative marking, reproduce the source span in its source language and wording rather than regenerating it, accompanied in a target language by a regenerated gloss marked non-operative; exempt only the reproduced span from Stage 6 groundedness rewriting; withhold reproduction where Chapter 60 rights validation does not permit it and deliver the gloss alone.","A wording-operative span is reproduced, never regenerated; the accompanying gloss carries a non-operative marking.","=IF(COUNTIF({""QUOTATION"",""CLAIM"",""INSTRUCTION""},""QUOTATION"")>0,""Reproduce verbatim + non-operative gloss"",""Regenerate normally"")",True
145,Idiom Detection and Equivalence Mapping,Internal,§16.8,16,—,D7 Grounded Expression,Reasoning,D7.ch16,"Detect at ingestion a span whose compositional reading diverges from its attested reading beyond a configured threshold; record the attested meaning with an idiom-derived marking and the source span; realize it in a target language using a registered equivalent for the same attested meaning, and where none is registered render the meaning literally with an explicit note rather than selecting an equivalent by surface similarity.",An idiom mapping applies only where divergence clears the configured threshold and a target-language equivalent is registered.,"=IF(AND(0.82>=0.6,COUNTIF({""es:tomar-el-pelo""},""es:tomar-el-pelo"")>0),""Apply registered equivalent"",""Render literal meaning with note"")",True
146,Linguistic Resource Registry,Internal,§4.9.1–§4.9.2,4,—,D1 Ingestion & Sensory Intake,Knowledge,D1.ch4,"Register every externally-sourced linguistic resource with identifier, version, licensor, licence instrument, permitted-use scope, redistribution permission, attribution requirement and ingestion mode before any extraction or realization stage consults it; refuse registration where the licence does not cover the declared use; propagate derivative conditions to artifacts derived from the resource, marking an artifact non-redistributable where two registered resources impose conflicting conditions.",A resource is consulted only where its registered permitted-use scope encompasses the operator's declared use.,"=IF(COUNTIF({""commercial-permitted"",""derived-only"",""refused""},""commercial-permitted"")>0,""Register for full ingestion"",""Restrict or refuse"")",True
147,Derived-Artifact-Only Extraction,Internal,§4.9.3,4,—,D1 Ingestion & Sensory Intake,Knowledge,D1.ch4,"For a resource registered in derived-artifact-only mode, compute and retain aggregate quantities (frequency, collocation strength, part-of-speech distribution, morphological paradigm) while retaining no span of the resource's text in any Fact Unit, index or cache and reproducing none in output; verify by confirming the retained-span count is zero, enforcing the Feist fact/expression boundary already applied at §59.10.",Retained source spans attributable to a derived-artifact-only resource must equal zero.,"=IF(0=0,""Compliant - statistics retained, no source span"",""Refused - source span retained"")",True
148,External System Behavioural Probing,Internal,§96.9,96,—,D12 External Integration & Analysis,Platform,D12.ch96,"Submit controlled inputs to a registered external system and measure behaviour rather than content: repeat an identical input and score the proportion of outputs sharing a semantic fingerprint; reinject an output as input to a ceiling and classify the fingerprint sequence as converged, periodic, drifting or unresolved; perturb an input without changing its fingerprint and score output invariance. Every result carries QueryBook's own measured value on the identical probe or is incomplete.",A probe result is reportable only where a reference value measured on the identical probe is present.,"=IF(AND(8/10>=0.5,1=1),""Consistency measured against reference"",""Incomplete - reference value absent"")",True
149,Analysis Quarantine,Internal,§96.10,96,—,D12 External Integration & Analysis,Platform,D12.ch96,"Exclude AnalyzedOutput and ProbeResult Fact Units, and anything derived from them, from the scope description the Slice Resolver constructs for any query not directed at the analysis itself, so they are not traversable rather than filtered afterwards; exclude them equally from the question index and the Conceptual Memory Layer.","An analysis record is structurally ineligible as a grounding source; exclusion occurs at slice construction, not after traversal.","=IF(COUNTIF({""AnalyzedOutput"",""ProbeResult""},""ProbeResult"")>0,""Excluded from grounding slice"",""Eligible as grounding"")",True
150,Attestation Horizon Constraint,Internal,§103.3,103,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch103,Admit a Fact Unit to a pre-event snapshot only where its T_attested (the source's documented creation date) precedes the event time less the horizon; do not consult TemporalAnchor for this test; exclude any record whose T_attested cannot be established from documented source metadata; enforce at Slice Resolver scope construction so an inadmissible record is not traversable rather than filtered afterwards.,"Admissible iff T_attested < T_event - horizon; contested dates resolve to the latest candidate, so uncertainty resolves toward exclusion.","=IF(DATE(1998,3,1)<DATE(2001,9,11)-90,""Admissible to pre-event snapshot"",""Excluded - attested after cutoff"")",True
151,Retrospective Forecast Scoring,Internal,§103.5,103,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch103,"Run Chapter 10 and §10.4 forecasting against the constrained pre-event snapshot alone within a Scenario Graph branch; record predicted outcome, assigned probability, predicted interval and every admitted FUID; on comparison with the recorded outcome, construct a PredictionError Fact Unit and derive accuracy by horizon and calibration by confidence band.",Mean squared error between assigned probability and realised binary outcome across the scored corpus.,=((0.7-1)^2+(0.4-0)^2)/2,True
152,Calibration Subject Class Gate,Internal,§103.6,103,—,"D5 Inference, Prediction & Calibration",Reasoning,D5.ch103,"Admit only an institution, organisational process, system or aggregate group as the subject of a calibration event record; refuse construction of a PredictionError Fact Unit whose subject resolves to an individual natural person, at construction rather than by access restriction; report a demographic correlation as a property of the institutional process, cited, never restated as a property of individuals.",Construction is refused where the resolved subject class is an individual natural person.,"=IF(COUNTIF({""institution"",""system"",""group""},""individual"")>0,""Refused - individual subject"",""Admissible - institutional subject"")",True
153,Event Type Catalogue,Internal,§104.2,104,—,D3 Ontology & Conceptual Structure,Knowledge,D3.ch104,"Register each event category with an immutable id, version, poly-hierarchical Ontology Mesh placement, a semantic definition stating both coverage and exclusions, and a MachineDefinition naming required, optional and forbidden fields; require an EVENT_DESCRIPTION Fact Unit to reference a registered id rather than a free-text category; refuse construction where the MachineDefinition is unsatisfied; permit a later version to narrow a required-field set but never widen it.",A record is admitted only where every field required by its event type's MachineDefinition is present.,"=IF(COUNTIF({""StartTime"",""EventTypeId"",""ActorRef""},""EventTypeId"")>0,""Admit - required field present"",""Refused - MachineDefinition unsatisfied"")",True
